Category,Text,Prediction
ca_text,WE GOT IN THE CAR AND MY DAD'S PHONE AUTO CONNECTS TO IT AND THE AUDIO THAT CAME UP WAS PORN IM CRYING,0.4722288
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"I liked a @YouTube video https://t.co/UyNgZtCY4w Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,"I liked a @YouTube video https://t.co/JxudunH632 Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,3?17?????18????Car Audio Club????????Super High-end Car Audio??????? ?Mycar-life? https://t.co/QuLhG2d8rs,0.86635816
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,(Audio) Pursuit: @KokomoPolice in car chase from Lowes.. https://t.co/TFlQHJFlF4,0.3828809
ca_text,3?17?????18????Car Audio Club????????Super High-end Car Audio??????? ?Mycar-life? https://t.co/uOCx3s336U,0.86635816
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"I liked a @YouTube video https://t.co/38K8ydFJhk Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"@MirrorFootball He set up the phone to record while having a daughter in the car, interestingly he is listening to 'how to save a life' as shown on his audio player but ready to kill his own daughter!",0.10313006
ca_text,12v Car Auto Boat Audio Fuse High Power 100 Amp Manual Reset Circuit Breaker https://t.co/4hYEYBSDEF #automation https://t.co/2mcDjGITO4,0.00831463
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,NVX Solid Gold Car Audio Subwoofer  Special Edition 12 VSWv2  Product Overview https://t.co/ojgy0u6q6x #nvx #solid https://t.co/ibfOvLIwIE,0.92073637
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"I liked a @YouTube video https://t.co/MrRPBVXUJz Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
